iter	Passed	Remaining
0	130	130272
1	131	65388
2	131	43737
3	132	32906
4	132	26409
5	133	22077
6	133	18984
7	134	16662
8	134	14856
9	135	13416
10	136	12234
11	136	11247
12	137	10414
13	137	9698
14	138	9088
15	139	8552
16	139	8084
17	140	7668
18	141	7297
19	142	6960
20	142	6658
21	143	6376
22	144	6118
23	144	5885
24	145	5665
25	145	5464
26	146	5280
27	147	5104
28	147	4945
29	148	4800
30	149	4666
31	150	4539
32	150	4418
33	151	4303
34	152	4193
35	152	4095
36	153	3995
37	154	3899
38	154	3810
39	155	3723
40	155	3641
41	156	3563
42	156	3489
43	157	3419
44	158	3356
45	158	3293
46	159	3231
47	159	3172
48	160	3115
49	161	3060
50	161	3006
51	162	2955
52	162	2905
53	163	2857
54	163	2811
55	164	2769
56	165	2730
57	165	2692
58	166	2652
59	166	2614
60	167	2576
61	167	2540
62	168	2505
63	169	2471
64	169	2438
65	170	2406
66	170	2375
67	170	2341
68	171	2312
69	171	2284
70	172	2257
71	173	2231
72	173	2205
73	174	2179
74	174	2155
75	175	2131
76	175	2107
77	176	2086
78	177	2065
79	177	2044
80	178	2024
81	179	2005
82	179	1986
83	180	1967
84	180	1946
85	181	1929
86	181	1909
87	182	1891
88	183	1874
89	183	1857
90	184	1840
91	184	1823
92	185	1807
93	185	1791
94	186	1777
95	187	1763
96	187	1749
97	188	1734
98	189	1720
99	189	1706
100	190	1692
101	190	1677
102	191	1663
103	191	1650
104	192	1637
105	192	1625
106	193	1612
107	193	1601
108	194	1589
109	195	1578
110	195	1568
111	196	1557
112	197	1547
113	197	1537
114	198	1527
115	198	1516
116	199	1505
117	200	1496
118	200	1485
119	201	1476
120	201	1466
121	202	1458
122	202	1446
123	203	1439
124	204	1430
125	205	1422
126	205	1414
127	206	1404
128	206	1396
129	207	1388
130	208	1380
131	208	1373
132	209	1365
133	210	1357
134	210	1350
135	211	1342
136	212	1335
137	212	1328
138	213	1322
139	214	1314
140	214	1307
141	215	1300
142	215	1292
143	216	1286
144	217	1279
145	217	1273
146	218	1267
147	218	1260
148	219	1254
149	220	1247
150	220	1241
151	221	1234
152	221	1228
153	222	1222
154	223	1216
155	223	1209
156	224	1204
157	224	1198
158	225	1193
159	226	1187
160	226	1182
161	227	1176
162	227	1170
163	228	1164
164	229	1159
165	229	1153
166	230	1148
167	230	1142
168	231	1137
169	231	1132
170	232	1128
171	234	1127
172	234	1122
173	235	1118
174	236	1114
175	237	1110
176	238	1107
177	238	1102
178	239	1098
179	240	1094
180	240	1089
181	241	1084
182	242	1080
183	242	1075
184	243	1071
185	243	1066
186	244	1062
187	244	1057
188	245	1053
189	245	1048
190	246	1044
191	247	1040
192	248	1037
193	248	1033
194	249	1029
195	249	1025
196	250	1020
197	251	1016
198	251	1012
199	252	1008
200	252	1004
201	253	1000
202	253	996
203	254	993
204	255	990
205	256	986
206	256	983
207	257	979
