iter	Passed	Remaining
0	97	97587
1	98	49066
2	98	32884
3	99	24788
4	100	19956
5	100	16732
6	101	14420
7	102	12682
8	102	11325
9	103	10240
10	103	9349
11	104	8610
12	105	7983
13	105	7446
14	106	6983
15	106	6580
16	107	6223
17	108	5902
18	108	5615
19	109	5356
20	109	5120
21	110	4905
22	110	4708
23	111	4526
24	111	4360
25	112	4206
26	112	4063
27	113	3930
28	113	3807
29	114	3697
30	114	3590
31	115	3490
32	115	3396
33	116	3307
34	116	3223
35	117	3144
36	117	3069
37	118	2998
38	118	2931
39	119	2868
40	120	2807
41	120	2749
42	121	2695
43	121	2643
44	122	2593
45	122	2545
46	123	2499
47	123	2455
48	124	2412
49	124	2372
50	125	2332
51	125	2294
52	126	2257
53	126	2221
54	127	2187
55	127	2154
56	128	2123
57	128	2093
58	129	2063
59	129	2034
60	130	2007
61	130	1979
62	131	1953
63	131	1928
64	132	1903
65	132	1880
66	133	1859
67	134	1837
68	134	1816
69	135	1795
70	135	1776
71	136	1756
72	136	1737
73	137	1718
74	137	1701
75	138	1684
76	139	1666
77	139	1649
78	140	1632
79	140	1616
80	141	1600
81	141	1584
82	141	1566
83	142	1551
84	142	1537
85	143	1524
86	144	1511
87	144	1498
88	145	1484
89	145	1471
90	146	1459
91	146	1447
92	147	1435
93	147	1424
94	148	1412
95	148	1401
96	149	1389
97	149	1378
98	150	1368
99	150	1358
100	151	1348
101	151	1337
102	152	1327
103	152	1318
104	153	1308
105	153	1298
106	154	1289
107	155	1280
108	155	1271
109	156	1262
110	156	1254
111	157	1246
112	157	1238
113	158	1231
114	158	1223
115	159	1215
116	159	1206
117	160	1198
118	160	1191
119	161	1184
120	161	1176
121	162	1168
122	162	1161
123	163	1154
124	163	1147
125	164	1140
126	164	1133
127	165	1127
128	166	1121
129	166	1114
130	167	1108
131	167	1101
132	168	1095
133	168	1089
134	169	1083
135	169	1077
136	170	1071
137	171	1069
138	171	1063
139	172	1058
140	172	1053
141	173	1048
142	174	1042
143	174	1037
144	175	1032
145	175	1026
146	176	1022
147	176	1016
148	177	1011
149	177	1006
150	178	1001
151	178	996
152	179	991
153	179	986
154	180	982
155	180	978
156	181	973
157	181	968
158	182	964
159	182	960
160	183	954
161	183	950
162	184	945
163	184	941
164	185	937
165	185	933
166	186	928
167	186	924
168	187	920
169	187	916
170	188	912
171	188	908
172	189	904
173	189	901
174	190	897
175	190	894
176	191	890
177	192	887
178	192	883
179	193	880
180	193	877
181	194	874
182	195	871
183	195	868
184	196	865
185	196	862
186	197	859
187	198	856
188	198	852
189	199	849
190	199	846
191	200	842
192	200	839
193	201	836
194	201	833
195	202	830
196	203	827
197	203	824
198	204	821
199	204	818
200	205	816
201	205	813
202	206	810
203	206	807
204	207	804
205	208	801
206	208	798
207	209	796
208	209	793
209	210	791
210	211	789
211	211	786
212	212	784
213	212	781
